sale_id,order_id,date_id,product_id,customer_id,store_id,quantity,unit_price,discount,total_amount,payment_method,device_type
30,1793,20260216,25,810,85,4,132.18,0.23,407.11,Credit Card,Desktop
31,1602,20260216,35,605,82,1,556.79,0.04,534.52,Credit Card,Desktop
32,3552,20260216,47,1327,48,1,892.63,0.29,633.77,Credit Card,Mobile
33,1615,20260216,35,1122,11,4,89.68,0.17,297.74,Debit Card,Mobile
34,3488,20260216,33,292,21,2,251.15,0.27,366.68,Credit Card,Mobile
35,743,20260216,43,1638,73,2,843.01,0.06,1584.86,Credit Card,Desktop
36,276,20260216,17,202,26,1,572.18,0.09,520.68,PayPal,Desktop
37,961,20260216,7,584,80,4,389.28,0.2,1245.7,Credit Card,Mobile
38,2701,20260216,20,1421,75,1,511.57,0.1,460.41,Credit Card,Desktop
39,1283,20260216,16,1610,29,1,960.73,0.05,912.69,PayPal,Desktop
40,3003,20260216,22,1798,62,3,848.1,0.04,2442.53,Debit Card,Desktop
41,446,20260216,12,1323,78,3,786.03,0.15,2004.38,Credit Card,Desktop
42,3005,20260216,41,157,94,3,896.73,0.06,2528.78,Credit Card,Mobile
43,2372,20260216,26,1576,76,2,650.05,0.24,988.08,Credit Card,Mobile
44,2211,20260216,31,1340,100,4,297.59,0.27,868.96,Credit Card,Desktop
45,3004,20260216,19,275,60,4,262.14,0.23,807.39,PayPal,Mobile
46,979,20260216,40,1402,22,4,395.67,0.0,1582.68,PayPal,Mobile
47,2318,20260216,43,1787,19,4,201.26,0.17,668.18,PayPal,Desktop
48,950,20260216,5,542,48,3,88.4,0.23,204.2,Credit Card,Mobile
49,1480,20260216,25,962,59,2,246.44,0.27,359.8,Credit Card,Mobile
50,2136,20260216,41,1700,36,2,357.87,0.21,565.43,PayPal,Desktop
51,2678,20260216,25,749,76,3,567.13,0.05,1616.32,PayPal,Mobile
52,913,20260216,34,832,46,2,289.01,0.29,410.39,Debit Card,Desktop
53,3613,20260216,9,901,22,3,892.81,0.0,2678.43,Credit Card,Mobile
54,766,20260216,11,742,78,4,661.3,0.06,2486.49,PayPal,Mobile
55,2951,20260216,8,987,87,3,268.83,0.24,612.93,Debit Card,Desktop
56,1684,20260216,2,500,6,4,611.25,0.19,1980.45,Credit Card,Mobile
57,2345,20260216,10,115,22,4,648.06,0.01,2566.32,Debit Card,Mobile
58,2309,20260216,41,39,93,1,960.33,0.18,787.47,PayPal,Desktop
59,1931,20260216,31,350,29,3,255.76,0.18,629.17,Debit Card,Mobile
60,2702,20260216,33,542,22,1,829.43,0.05,787.96,PayPal,Desktop
61,1550,20260216,25,271,14,3,616.71,0.02,1813.13,Credit Card,Mobile
62,1720,20260216,10,1241,13,3,866.61,0.15,2209.86,Credit Card,Desktop
63,2177,20260216,33,1541,16,1,619.82,0.26,458.67,Credit Card,Desktop
64,3390,20260216,1,1837,100,1,173.81,0.18,142.52,PayPal,Desktop
65,2858,20260216,34,879,30,3,449.65,0.26,998.22,Debit Card,Desktop
66,3120,20260216,45,1180,13,2,609.6,0.22,950.98,Debit Card,Mobile
67,3519,20260216,6,581,77,4,503.28,0.07,1872.2,PayPal,Desktop
68,3234,20260216,1,1184,67,1,229.57,0.21,181.36,Credit Card,Mobile
69,1294,20260216,27,742,14,4,671.82,0.21,2122.95,Credit Card,Desktop
70,2196,20260216,28,1157,47,2,606.1,0.08,1115.22,PayPal,Desktop
71,2262,20260216,36,989,23,2,427.58,0.06,803.85,Debit Card,Desktop
72,3172,20260216,46,816,95,2,989.08,0.17,1641.87,Credit Card,Mobile
73,663,20260216,7,440,66,1,474.27,0.21,374.67,Debit Card,Desktop
74,214,20260216,11,797,82,2,633.32,0.21,1000.65,Credit Card,Mobile
75,362,20260216,5,539,29,1,498.09,0.18,408.43,Debit Card,Mobile
76,1642,20260216,40,1344,67,2,85.87,0.12,151.13,Debit Card,Mobile
77,827,20260216,43,1907,67,4,658.28,0.13,2290.81,Debit Card,Mobile
78,2861,20260216,15,1260,22,4,794.76,0.15,2702.18,PayPal,Mobile
79,645,20260216,6,566,100,3,277.29,0.0,831.87,Debit Card,Desktop
80,2121,20260216,1,1510,91,4,425.39,0.18,1395.28,Credit Card,Mobile
81,3748,20260216,38,713,45,3,320.27,0.25,720.61,Debit Card,Mobile
82,1655,20260216,37,10,34,4,964.9,0.14,3319.26,Credit Card,Desktop
83,1206,20260216,22,1940,15,1,151.14,0.02,148.12,PayPal,Desktop
84,2844,20260216,29,1979,49,4,822.49,0.17,2730.67,PayPal,Desktop
85,1880,20260216,44,944,76,3,769.6,0.29,1639.25,Credit Card,Desktop
86,3231,20260216,15,1387,90,3,294.93,0.11,787.46,Credit Card,Desktop
87,40,20260216,45,1705,34,2,957.67,0.15,1628.04,Credit Card,Desktop
88,1401,20260216,5,1136,23,1,428.98,0.22,334.6,Debit Card,Desktop
89,749,20260216,48,1400,25,4,257.64,0.17,855.36,Debit Card,Mobile
90,847,20260216,15,416,32,2,748.66,0.26,1108.02,PayPal,Desktop
91,322,20260216,44,1958,85,4,789.99,0.04,3033.56,Debit Card,Mobile
92,1521,20260216,40,646,64,4,960.09,0.25,2880.27,PayPal,Desktop
93,2094,20260216,18,815,29,2,223.73,0.23,344.54,PayPal,Mobile
94,3849,20260216,35,67,65,2,549.45,0.13,956.04,Debit Card,Desktop
95,494,20260216,45,1062,59,2,787.11,0.14,1353.83,Debit Card,Mobile
96,413,20260216,21,741,79,2,690.4,0.11,1228.91,Debit Card,Mobile
97,3927,20260216,40,703,47,2,299.71,0.08,551.47,Credit Card,Desktop
98,1525,20260216,24,1750,52,4,250.01,0.21,790.03,Debit Card,Desktop
99,2810,20260216,15,1668,13,2,592.84,0.29,841.83,PayPal,Desktop
100,804,20260216,10,1639,95,1,577.57,0.26,427.4,Credit Card,Desktop
101,3659,20260216,41,1059,69,3,217.78,0.15,555.34,PayPal,Desktop
102,2326,20260216,4,816,13,2,335.03,0.17,556.15,PayPal,Mobile
103,3437,20260216,41,198,58,2,254.69,0.08,468.63,PayPal,Desktop
104,3817,20260216,17,705,3,4,392.91,0.17,1304.46,Debit Card,Mobile
105,815,20260216,37,1180,84,2,874.0,0.29,1241.08,PayPal,Mobile
106,1997,20260216,50,1509,58,2,387.35,0.2,619.76,Credit Card,Desktop
107,594,20260216,11,1312,44,2,322.2,0.19,521.96,Debit Card,Desktop
108,1285,20260216,21,1338,38,4,125.16,0.1,450.58,PayPal,Desktop
109,1823,20260216,50,1768,47,2,662.41,0.08,1218.83,PayPal,Desktop
110,513,20260216,47,481,85,3,208.95,0.26,463.87,Debit Card,Mobile
111,262,20260216,31,1124,7,4,208.56,0.03,809.21,Credit Card,Desktop
112,1076,20260216,40,319,11,3,776.75,0.02,2283.64,PayPal,Desktop
113,1816,20260216,41,259,17,4,267.89,0.22,835.82,PayPal,Mobile
114,3749,20260216,21,1770,61,2,83.4,0.11,148.45,Debit Card,Desktop
115,2858,20260216,35,363,76,3,472.6,0.29,1006.64,PayPal,Desktop
116,1782,20260216,34,1311,82,4,761.47,0.26,2253.95,PayPal,Desktop
117,367,20260216,29,631,47,1,507.57,0.07,472.04,Debit Card,Desktop
118,3340,20260216,49,1737,18,2,338.39,0.0,676.78,Debit Card,Desktop
119,2015,20260216,49,978,39,4,558.34,0.21,1764.35,Credit Card,Desktop
120,2246,20260216,24,387,53,1,617.15,0.24,469.03,PayPal,Desktop
121,2646,20260216,25,1697,49,4,287.4,0.21,908.18,Credit Card,Desktop
122,3132,20260216,40,1654,89,1,451.13,0.07,419.55,PayPal,Desktop
123,1102,20260216,27,386,9,2,666.03,0.16,1118.93,Credit Card,Mobile
124,1855,20260216,18,1435,80,3,154.84,0.14,399.49,Debit Card,Mobile
125,2192,20260216,2,381,14,1,68.43,0.01,67.75,Debit Card,Desktop
126,954,20260216,6,309,2,4,729.44,0.22,2275.85,Debit Card,Mobile
127,2042,20260216,24,950,90,2,449.23,0.24,682.83,Credit Card,Desktop
128,230,20260216,18,1589,51,1,851.37,0.29,604.47,Credit Card,Desktop
129,3348,20260216,25,1697,2,4,232.58,0.25,697.74,Credit Card,Mobile
130,3022,20260216,3,408,59,4,782.66,0.13,2723.66,PayPal,Mobile
131,1594,20260216,44,1969,40,4,682.71,0.06,2566.99,Debit Card,Mobile
132,2252,20260216,34,251,33,1,741.83,0.22,578.63,Debit Card,Desktop
133,2731,20260216,14,1994,15,1,392.41,0.02,384.56,Credit Card,Desktop
134,2395,20260216,8,811,32,1,64.31,0.24,48.88,Credit Card,Mobile
135,2443,20260216,10,761,99,3,794.3,0.14,2049.29,Credit Card,Mobile
136,1387,20260216,49,1281,8,1,524.92,0.21,414.69,Credit Card,Desktop
137,440,20260216,9,1000,30,1,196.22,0.16,164.82,Debit Card,Desktop
138,1548,20260216,23,1484,18,1,746.53,0.01,739.06,Debit Card,Mobile
139,2224,20260216,45,1004,25,3,721.29,0.17,1796.01,PayPal,Mobile
140,1128,20260216,39,1873,71,1,380.28,0.22,296.62,Credit Card,Mobile
141,1079,20260216,35,752,59,4,197.27,0.09,718.06,Credit Card,Desktop
142,1492,20260216,50,1271,31,1,888.79,0.19,719.92,Debit Card,Mobile
143,778,20260216,34,1400,64,4,968.8,0.25,2906.4,PayPal,Mobile
144,1320,20260216,8,198,67,4,318.97,0.12,1122.77,PayPal,Mobile
145,3578,20260216,3,414,14,4,843.43,0.04,3238.77,Debit Card,Mobile
146,1592,20260216,43,1004,68,3,80.23,0.19,194.96,PayPal,Desktop
147,291,20260216,1,1906,27,3,398.04,0.18,979.18,PayPal,Desktop
148,1479,20260216,36,1523,54,3,494.66,0.19,1202.02,Debit Card,Mobile
149,289,20260216,20,160,28,1,302.52,0.01,299.49,PayPal,Mobile
150,777,20260216,13,1078,85,4,738.91,0.16,2482.74,Credit Card,Mobile
151,433,20260216,50,1308,74,3,761.73,0.12,2010.97,Debit Card,Desktop
152,684,20260216,12,1127,52,3,681.98,0.26,1514.0,PayPal,Desktop
153,1815,20260216,23,1849,41,1,200.27,0.3,140.19,PayPal,Desktop
154,3384,20260216,47,663,78,3,441.73,0.19,1073.4,Credit Card,Mobile
155,1041,20260216,24,1970,58,1,777.42,0.28,559.74,Debit Card,Desktop
156,2441,20260216,2,1061,18,2,740.0,0.29,1050.8,Debit Card,Mobile
157,1290,20260216,2,1581,89,3,985.17,0.06,2778.18,Debit Card,Mobile
158,567,20260216,17,752,75,2,85.85,0.11,152.81,Credit Card,Mobile
159,1638,20260216,37,1880,28,1,820.52,0.03,795.9,PayPal,Mobile
160,3383,20260216,45,1440,74,4,803.26,0.05,3052.39,Credit Card,Desktop
161,322,20260216,50,115,99,3,744.25,0.17,1853.18,Debit Card,Desktop
162,3563,20260216,50,465,96,1,445.7,0.26,329.82,PayPal,Mobile
163,1249,20260216,34,85,41,4,788.55,0.11,2807.24,PayPal,Mobile
164,207,20260216,44,1499,51,4,527.28,0.07,1961.48,Debit Card,Mobile
165,607,20260216,9,689,11,2,460.34,0.24,699.72,Debit Card,Mobile
166,2056,20260216,28,1585,90,1,429.23,0.03,416.35,Credit Card,Mobile
167,2672,20260216,37,402,72,4,581.33,0.15,1976.52,PayPal,Mobile
168,1325,20260216,44,1893,74,3,118.06,0.23,272.72,Credit Card,Mobile
169,781,20260216,21,706,77,3,442.9,0.11,1182.54,PayPal,Mobile
170,3366,20260216,29,1277,19,2,210.79,0.1,379.42,Debit Card,Mobile
171,3104,20260216,47,1747,11,4,239.7,0.11,853.33,Credit Card,Mobile
172,3559,20260216,19,29,44,1,951.49,0.28,685.07,PayPal,Mobile
173,857,20260216,48,1102,28,3,477.56,0.01,1418.35,Credit Card,Desktop
174,579,20260216,45,1432,86,4,508.88,0.22,1587.71,Credit Card,Desktop
175,1047,20260216,11,124,37,4,910.74,0.16,3060.09,Credit Card,Desktop
176,273,20260216,25,1353,35,2,491.71,0.28,708.06,PayPal,Desktop
177,2660,20260216,25,474,49,3,68.12,0.26,151.23,PayPal,Mobile
178,361,20260216,12,408,65,3,510.43,0.18,1255.66,Debit Card,Mobile
179,1367,20260216,32,806,96,1,285.02,0.16,239.42,Credit Card,Mobile
180,1239,20260216,16,1027,36,3,700.1,0.11,1869.27,Credit Card,Desktop
181,121,20260216,36,1944,36,1,895.88,0.24,680.87,Credit Card,Mobile
182,360,20260216,47,783,67,3,902.32,0.2,2165.57,PayPal,Mobile
183,3976,20260216,20,1864,78,2,278.34,0.05,528.85,Debit Card,Desktop
184,2380,20260216,35,1401,26,3,175.18,0.2,420.43,Credit Card,Desktop
185,554,20260216,28,1862,99,1,719.88,0.16,604.7,Credit Card,Mobile
186,2947,20260216,8,378,41,1,114.42,0.16,96.11,Credit Card,Mobile
187,1685,20260216,20,908,96,2,886.13,0.12,1559.59,PayPal,Desktop
188,757,20260216,2,1562,79,3,790.15,0.03,2299.34,PayPal,Desktop
189,952,20260216,15,1408,4,3,588.69,0.07,1642.45,Debit Card,Mobile
190,3466,20260216,39,961,92,2,790.83,0.04,1518.39,PayPal,Desktop
191,564,20260216,11,396,29,3,859.52,0.15,2191.78,Credit Card,Desktop
192,912,20260216,48,1375,26,3,929.16,0.29,1979.11,Credit Card,Mobile
193,3552,20260216,40,1004,89,1,930.75,0.3,651.52,Debit Card,Desktop
194,2491,20260216,48,1689,49,3,456.18,0.23,1053.78,PayPal,Desktop
195,2433,20260216,35,1076,83,3,630.93,0.22,1476.38,PayPal,Mobile
196,3596,20260216,3,1798,32,2,153.85,0.14,264.62,PayPal,Desktop
197,2584,20260216,4,389,38,2,579.82,0.15,985.69,Debit Card,Desktop
198,682,20260216,28,603,79,4,784.99,0.09,2857.36,Credit Card,Mobile
199,2960,20260216,33,232,24,1,838.4,0.14,721.02,PayPal,Mobile
200,733,20260216,30,1209,92,3,442.88,0.14,1142.63,Credit Card,Desktop
201,3716,20260216,46,1632,21,3,287.58,0.21,681.56,PayPal,Mobile
202,1487,20260216,6,1073,91,4,158.46,0.13,551.44,Debit Card,Mobile
203,700,20260713,22,1159,85,3,572.83,0.01,1701.31,Credit Card,Mobile
204,1719,20260316,20,634,94,1,219.92,0.21,173.74,Debit Card,Desktop
205,3934,20261117,13,8,80,4,221.66,0.27,647.25,Debit Card,Mobile
206,3308,20260823,1,1246,64,1,522.75,0.15,444.34,Credit Card,Mobile
207,1810,20261029,6,1232,77,4,676.5,0.14,2327.16,Credit Card,Mobile
208,3360,20261008,14,101,24,4,314.21,0.19,1018.04,Credit Card,Mobile
209,133,20261201,43,1184,78,2,381.57,0.04,732.61,Debit Card,Desktop
210,731,20260214,11,1377,37,1,96.58,0.13,84.02,PayPal,Mobile
211,147,20260822,6,1574,39,3,761.87,0.11,2034.19,Debit Card,Desktop
212,3455,20260714,36,133,38,3,829.25,0.23,1915.57,Debit Card,Mobile
213,2159,20260304,27,1075,27,1,709.89,0.08,653.1,PayPal,Mobile
214,2577,20261110,34,180,62,3,105.28,0.17,262.15,PayPal,Desktop
215,2153,20260807,37,1277,46,3,628.4,0.09,1715.53,Credit Card,Desktop
216,3310,20260924,12,1810,79,1,742.73,0.15,631.32,Credit Card,Desktop
217,2562,20260410,8,1511,27,4,51.5,0.01,203.94,PayPal,Desktop
218,3302,20260731,41,435,2,1,93.22,0.1,83.9,PayPal,Mobile
219,1261,20261220,20,1038,71,4,317.55,0.24,965.35,Debit Card,Mobile
220,2968,20260228,37,1262,4,3,701.54,0.1,1894.16,Credit Card,Mobile
221,1963,20260619,31,1633,5,3,842.13,0.28,1819.0,PayPal,Mobile
222,3544,20260904,35,1835,43,3,197.62,0.14,509.86,Debit Card,Desktop
223,2970,20260129,44,647,72,2,843.35,0.09,1534.9,PayPal,Mobile
224,3753,20260417,23,136,20,4,598.53,0.1,2154.71,Debit Card,Mobile
225,3451,20260623,11,1170,78,2,984.44,0.19,1594.79,Debit Card,Mobile
226,1263,20261101,46,1757,41,2,161.0,0.23,247.94,PayPal,Mobile
227,974,20260520,24,926,39,1,443.18,0.15,376.7,Credit Card,Desktop
228,3186,20260331,13,1871,12,2,156.62,0.24,238.06,Debit Card,Mobile
229,1394,20260905,31,1501,68,1,909.71,0.05,864.22,Debit Card,Desktop
230,3843,20260315,34,1386,17,1,781.01,0.03,757.58,Credit Card,Mobile
231,475,20260824,1,637,6,2,418.21,0.26,618.95,PayPal,Mobile
232,2133,20260620,50,1350,96,4,493.53,0.01,1954.38,Debit Card,Mobile
233,860,20261023,21,411,25,4,770.57,0.19,2496.65,Debit Card,Desktop
234,482,20260930,18,306,21,4,353.19,0.13,1229.1,Debit Card,Mobile
235,420,20260108,14,1112,45,4,960.38,0.17,3188.46,PayPal,Desktop
236,1161,20260519,37,502,22,4,184.48,0.21,582.96,Credit Card,Desktop
237,208,20261110,9,60,61,2,897.63,0.16,1508.02,PayPal,Mobile
238,1606,20260224,12,1444,77,2,414.42,0.03,803.97,PayPal,Desktop
239,812,20261112,46,1554,86,3,387.84,0.1,1047.17,PayPal,Mobile
240,3287,20260827,45,960,13,4,589.4,0.03,2286.87,Debit Card,Desktop
241,1928,20261217,15,1941,29,2,662.2,0.23,1019.79,Credit Card,Desktop
242,2725,20260706,22,1616,42,3,422.47,0.21,1001.25,Debit Card,Desktop
243,1961,20260116,30,1733,22,4,112.1,0.03,434.95,Debit Card,Desktop
244,1662,20261106,46,1632,14,1,595.94,0.15,506.55,Debit Card,Mobile
245,1694,20260604,16,1272,32,3,556.11,0.12,1468.13,PayPal,Mobile
246,3334,20260904,45,1211,56,2,414.63,0.1,746.33,Debit Card,Desktop
247,2743,20261006,5,1515,92,1,709.43,0.05,673.96,PayPal,Desktop
248,2274,20260228,7,1684,57,1,612.55,0.14,526.79,Credit Card,Desktop
249,3335,20260727,39,1580,49,1,116.13,0.03,112.65,Debit Card,Desktop
250,3347,20261127,9,1818,75,3,677.16,0.03,1970.54,PayPal,Mobile
251,1194,20260317,25,1261,74,2,677.84,0.14,1165.88,Debit Card,Mobile
252,2336,20260416,44,624,56,1,697.44,0.09,634.67,PayPal,Desktop
253,2091,20260215,26,1736,17,4,603.59,0.18,1979.78,Debit Card,Mobile
254,4,20260709,46,1147,46,1,906.02,0.29,643.27,Credit Card,Desktop
255,1615,20260116,41,652,92,1,273.48,0.21,216.05,Debit Card,Desktop
256,711,20260715,31,285,25,3,463.43,0.06,1306.87,PayPal,Desktop
257,3575,20260704,43,258,18,3,847.96,0.05,2416.69,Credit Card,Mobile
258,1994,20261128,43,895,18,2,64.92,0.22,101.28,Credit Card,Mobile
259,3661,20261125,45,1238,55,4,815.64,0.26,2414.29,PayPal,Mobile
260,1844,20260821,25,728,29,3,533.94,0.17,1329.51,Credit Card,Desktop
261,2994,20261106,16,1459,65,1,57.06,0.15,48.5,Debit Card,Desktop
262,156,20261007,37,990,91,2,597.53,0.01,1183.11,Debit Card,Mobile
263,582,20261025,47,1498,68,1,507.46,0.21,400.89,Debit Card,Desktop
264,363,20260922,16,968,81,1,124.32,0.27,90.75,PayPal,Mobile
265,1280,20261217,40,109,44,3,652.0,0.24,1486.56,PayPal,Mobile
266,2351,20260829,47,679,54,2,481.33,0.27,702.74,Debit Card,Desktop
267,2448,20260529,48,623,94,4,209.13,0.21,660.85,PayPal,Desktop
268,2347,20260201,4,1345,38,4,647.84,0.17,2150.83,PayPal,Mobile
269,315,20260527,18,517,17,3,510.52,0.04,1470.3,PayPal,Desktop
270,457,20260521,39,358,76,3,864.97,0.0,2594.91,PayPal,Mobile
271,1071,20261204,45,484,63,2,474.32,0.24,720.97,Credit Card,Mobile
272,2440,20260625,10,1716,64,4,984.87,0.29,2797.03,Debit Card,Desktop
273,686,20260502,14,1184,94,4,677.63,0.22,2114.21,Debit Card,Mobile
274,216,20261125,11,951,52,4,301.18,0.25,903.54,Debit Card,Desktop
275,2182,20260901,15,778,88,1,758.84,0.23,584.31,PayPal,Desktop
276,1781,20260831,1,592,58,4,299.49,0.16,1006.29,Debit Card,Desktop
277,3759,20260929,35,1306,46,1,698.73,0.01,691.74,Debit Card,Desktop
278,1046,20260621,42,1197,51,2,306.81,0.24,466.35,Debit Card,Mobile
279,1383,20261211,44,1414,24,1,609.29,0.06,572.73,Debit Card,Mobile
280,1685,20261211,7,1076,14,2,58.05,0.02,113.78,PayPal,Desktop
281,791,20260629,3,49,80,4,258.45,0.08,951.1,Credit Card,Mobile
282,3894,20261101,39,1307,16,4,673.78,0.25,2021.34,PayPal,Mobile
283,2689,20260214,49,1843,83,2,863.62,0.04,1658.15,PayPal,Mobile
284,1913,20260226,43,1918,10,3,710.87,0.08,1962.0,PayPal,Desktop
285,2735,20260522,50,1578,42,2,780.89,0.21,1233.81,Debit Card,Mobile
286,1592,20260207,22,124,34,3,313.42,0.02,921.45,Debit Card,Mobile
287,822,20260814,40,805,23,1,115.93,0.29,82.31,PayPal,Desktop
288,895,20260225,40,1318,14,1,186.68,0.23,143.74,Debit Card,Desktop
289,2981,20260222,17,1592,58,1,83.12,0.02,81.46,Credit Card,Desktop
290,155,20260318,43,800,35,4,670.22,0.0,2680.88,Credit Card,Desktop
291,3850,20260720,50,1005,62,1,595.91,0.15,506.52,Debit Card,Desktop
292,3909,20260205,45,1676,100,3,563.12,0.0,1689.36,Debit Card,Mobile
293,1366,20261018,44,621,52,1,558.54,0.3,390.98,Credit Card,Mobile
294,330,20260707,30,1558,99,2,557.89,0.29,792.2,Debit Card,Mobile
295,2707,20260401,13,613,90,2,576.75,0.29,818.99,Debit Card,Mobile
296,3626,20261119,41,897,95,4,704.4,0.15,2394.96,Credit Card,Mobile
297,2429,20260119,16,1002,50,2,233.44,0.22,364.17,Credit Card,Desktop
298,1841,20260913,2,76,44,3,557.24,0.25,1253.79,Credit Card,Desktop
299,2679,20260122,43,1072,59,1,435.23,0.06,409.12,PayPal,Mobile
300,3013,20261024,10,1002,84,4,271.34,0.02,1063.65,Credit Card,Desktop
301,535,20261113,1,353,81,1,93.51,0.21,73.87,Credit Card,Desktop
302,2421,20260219,5,1675,14,1,483.38,0.05,459.21,Credit Card,Desktop
303,3296,20261101,13,873,44,3,809.22,0.07,2257.72,PayPal,Desktop
304,2236,20260616,9,659,28,2,164.76,0.21,260.32,Credit Card,Mobile
305,3103,20260621,27,345,90,2,110.06,0.08,202.51,Debit Card,Mobile
306,547,20260813,7,1621,81,1,281.46,0.17,233.61,PayPal,Desktop
307,27,20260322,1,368,12,4,64.85,0.15,220.49,PayPal,Desktop
308,1950,20260802,45,260,27,2,708.83,0.24,1077.42,Credit Card,Desktop
309,715,20260925,40,1417,5,4,477.9,0.07,1777.79,PayPal,Mobile
310,3386,20260913,20,713,54,2,631.45,0.03,1225.01,Credit Card,Mobile
311,392,20260409,40,742,98,4,161.63,0.16,543.08,PayPal,Mobile
312,1133,20260826,4,397,15,3,781.81,0.2,1876.34,Credit Card,Desktop
313,177,20260912,4,1321,47,4,217.51,0.2,696.03,Debit Card,Mobile
314,3646,20260811,49,929,6,3,288.81,0.19,701.81,Credit Card,Mobile
315,1987,20261003,33,238,10,3,217.09,0.24,494.97,Credit Card,Desktop
316,3061,20261031,44,1840,42,4,600.77,0.13,2090.68,Credit Card,Mobile
317,1690,20260616,13,770,29,3,266.39,0.07,743.23,Credit Card,Desktop
318,594,20261027,14,1901,79,1,510.19,0.27,372.44,Debit Card,Mobile
319,796,20260718,41,735,35,3,404.81,0.14,1044.41,Credit Card,Desktop
320,1150,20260307,9,228,60,2,80.49,0.17,133.61,Debit Card,Desktop
321,1209,20260329,39,322,82,4,772.32,0.07,2873.03,PayPal,Mobile
322,355,20261023,27,1756,67,1,971.63,0.26,719.01,Debit Card,Mobile
323,60,20261030,47,877,95,4,499.81,0.14,1719.35,Credit Card,Mobile
324,3799,20260617,38,1938,20,2,462.54,0.07,860.32,PayPal,Mobile
325,1928,20260802,47,1575,65,2,981.17,0.01,1942.72,Credit Card,Desktop
326,2854,20260929,7,927,64,2,424.6,0.24,645.39,Credit Card,Mobile
327,1666,20261013,14,272,46,3,765.42,0.21,1814.05,Debit Card,Mobile
328,2741,20261128,20,332,91,3,999.0,0.0,2997.0,Debit Card,Mobile
329,2881,20260821,26,379,48,4,490.57,0.04,1883.79,PayPal,Desktop
330,290,20261227,25,1830,89,4,651.73,0.26,1929.12,Debit Card,Mobile
331,3876,20260601,40,1111,74,1,454.61,0.08,418.24,Credit Card,Mobile
332,225,20261114,33,1937,87,1,886.8,0.22,691.7,Debit Card,Mobile
333,168,20260226,24,751,23,4,413.81,0.14,1423.51,PayPal,Mobile
334,1372,20261015,16,1106,15,3,723.87,0.06,2041.31,PayPal,Desktop
335,3085,20261025,48,1559,29,2,877.57,0.21,1386.56,Debit Card,Desktop
336,224,20260517,5,764,45,4,528.39,0.13,1838.8,Debit Card,Desktop
337,2908,20260914,35,1390,69,1,550.35,0.04,528.34,Debit Card,Desktop
338,2840,20261114,5,386,59,3,399.74,0.2,959.38,Credit Card,Mobile
339,3919,20260720,5,224,22,4,903.05,0.09,3287.1,Debit Card,Mobile
340,837,20261223,34,1950,81,4,190.56,0.05,724.13,Credit Card,Desktop
341,541,20260802,31,711,54,3,971.1,0.16,2447.17,Debit Card,Mobile
342,3285,20260530,15,1710,67,4,229.61,0.01,909.26,PayPal,Desktop
343,3223,20260730,21,996,76,3,599.77,0.2,1439.45,PayPal,Desktop
344,3234,20260823,20,352,34,2,338.88,0.04,650.65,Credit Card,Desktop
