customer_id,country,language
336,Netherlands,German
337,Germany,Spanish
338,Netherlands,English
339,Germany,Spanish
340,Australia,German
341,Australia,German
342,France,English
343,Italy,German
344,USA,Italian
345,USA,Italian
346,Netherlands,German
347,Germany,Italian
348,Spain,French
349,Germany,Italian
350,France,French
351,Canada,English
352,France,Spanish
353,USA,Italian
354,Spain,French
355,Canada,German
356,Spain,Spanish
357,UK,French
358,UK,Italian
359,Spain,Italian
360,Sweden,German
361,UK,German
362,Netherlands,German
363,Spain,English
364,Netherlands,English
365,UK,French
366,Italy,Italian
367,Spain,English
368,Italy,English
369,France,Italian
370,Canada,Spanish
371,Spain,German
372,Australia,Spanish
373,Spain,English
374,Germany,Spanish
375,USA,Italian
376,Sweden,German
377,Australia,French
378,Canada,Spanish
379,France,Spanish
380,Canada,French
381,USA,English
382,France,Spanish
383,Canada,English
384,Germany,Italian
385,UK,Spanish
386,Netherlands,German
387,Sweden,Spanish
388,Australia,French
389,Italy,English
390,Netherlands,Italian
391,Italy,German
392,USA,German
393,Germany,Spanish
394,Netherlands,French
395,Spain,English
396,Spain,Italian
397,Spain,English
398,Italy,German
399,Germany,English
400,Netherlands,English
401,Germany,Italian
402,USA,English
403,Spain,French
404,UK,Italian
405,Germany,English
406,Sweden,French
407,Australia,French
408,Germany,German
409,UK,Italian
410,USA,German
411,UK,French
412,Sweden,German
413,UK,English
414,USA,French
415,USA,German
416,Germany,Italian
417,Spain,English
418,UK,German
419,USA,French
420,Italy,Italian
421,Canada,English
422,Netherlands,Spanish
423,Spain,Italian
424,Australia,English
425,Netherlands,Italian
426,Germany,Italian
427,USA,Italian
428,France,Spanish
429,USA,English
430,Netherlands,Spanish
431,Italy,English
432,Netherlands,Spanish
433,Canada,English
434,Spain,Italian
435,UK,English
436,UK,German
437,Australia,Italian
438,Sweden,German
439,Italy,Italian
440,Sweden,German
441,Netherlands,Italian
442,Australia,Spanish
443,Canada,English
444,Sweden,French
445,Italy,Spanish
446,Germany,Spanish
447,Spain,Spanish
448,Italy,Spanish
449,Canada,German
450,Italy,German
451,France,German
452,UK,Spanish
453,Canada,English
454,Canada,English
455,Italy,English
456,Spain,French
457,Sweden,English
458,Australia,Italian
459,Sweden,German
460,Canada,Spanish
461,Spain,Spanish
462,USA,German
463,Australia,German
464,Spain,English
465,Australia,Italian
466,Germany,French
467,Netherlands,French
468,Canada,German
469,Sweden,German
470,Canada,German
471,Australia,French
472,Italy,Italian
473,Australia,Italian
474,Sweden,English
475,Australia,German
476,USA,French
477,France,German
478,Spain,German
479,USA,French
480,UK,Italian
481,Italy,English
482,UK,English
483,Canada,Italian
484,Germany,Spanish
485,Italy,Spanish
486,Spain,French
487,Spain,German
488,Spain,Italian
489,Australia,English
490,USA,French
491,UK,Italian
492,USA,English
493,France,Spanish
494,Italy,Spanish
495,Australia,Spanish
496,Italy,German
497,Germany,Italian
498,Canada,German
499,Italy,English
500,France,Italian
501,Netherlands,Italian
502,France,English
503,Germany,Spanish
504,Australia,English
505,USA,French
506,France,French
507,UK,German
508,France,German
509,Canada,English
510,Netherlands,Spanish
511,UK,French
512,Italy,Italian
513,Germany,Italian
514,Sweden,German
515,Canada,Spanish
516,USA,Spanish
517,USA,Spanish
518,Canada,German
519,Australia,Spanish
520,Australia,Spanish
521,Italy,German
522,Canada,Spanish
523,USA,German
524,UK,Italian
525,Netherlands,German
526,Canada,Spanish
527,Canada,French
528,Italy,Italian
529,Italy,Italian
530,Canada,Spanish
531,France,German
532,Germany,German
533,UK,English
534,Sweden,English
535,Sweden,Italian
536,Germany,German
537,Spain,French
538,Germany,English
539,UK,German
540,Germany,French
541,Australia,French
542,Canada,French
543,Netherlands,Spanish
544,Australia,Italian
545,Netherlands,Italian
546,Australia,German
547,Spain,French
548,Netherlands,English
549,Netherlands,Spanish
550,France,German
551,Australia,English
552,Spain,Italian
553,Canada,German
554,Netherlands,Spanish
555,USA,English
556,Spain,German
557,Canada,English
558,Australia,Italian
559,Sweden,Spanish
560,Netherlands,Italian
561,Sweden,English
562,Netherlands,Italian
563,Germany,German
564,Australia,Spanish
565,Sweden,French
566,USA,Spanish
567,Canada,German
568,Canada,Italian
569,UK,English
570,Germany,Spanish
571,Netherlands,Italian
572,Sweden,Italian
573,UK,German
574,Spain,German
575,Italy,Spanish
576,Spain,Italian
577,USA,German
578,Canada,German
579,Canada,Italian
580,Italy,German
581,France,Italian
582,UK,German
583,Canada,Italian
584,UK,German
585,France,Spanish
586,UK,Italian
587,Canada,German
588,Sweden,Spanish
589,Spain,French
590,Sweden,English
591,Italy,Italian
592,Spain,English
593,Spain,German
594,UK,French
595,Spain,Spanish
596,Germany,French
597,UK,French
598,Canada,German
599,Canada,Italian
600,Sweden,Italian
601,USA,German
602,Australia,French
603,Australia,Spanish
604,UK,French
605,UK,Italian
606,UK,Spanish
607,USA,Spanish
608,Spain,French
609,Netherlands,Italian
610,France,Spanish
611,Germany,Italian
612,Germany,German
613,Netherlands,French
614,Spain,Italian
615,Netherlands,Spanish
616,France,Spanish
617,Sweden,Italian
618,Italy,French
619,Germany,Italian
620,UK,German
621,USA,Spanish
622,Spain,Italian
623,Canada,Italian
624,Canada,German
625,Canada,French
626,France,Spanish
627,Sweden,French
628,Italy,English
629,Germany,Spanish
630,Spain,English
631,Italy,English
632,Italy,Italian
633,Spain,French
634,Italy,English
635,Spain,French
636,USA,German
637,Canada,German
638,UK,French
639,USA,German
640,Netherlands,French
641,Netherlands,Spanish
642,Australia,English
643,Canada,English
644,France,French
645,UK,Italian
646,Australia,Italian
647,Italy,English
648,France,French
649,France,English
650,USA,French
651,Italy,Italian
652,Netherlands,English
653,Canada,Spanish
654,Australia,Italian
655,USA,Italian
656,Australia,French
657,UK,German
658,Italy,English
659,Australia,German
660,Germany,Italian
661,Italy,French
662,Canada,Italian
663,Spain,English
664,Sweden,Italian
665,Sweden,Italian
666,Sweden,English
667,Italy,Spanish
668,USA,Spanish
669,Spain,German
670,USA,German
671,Canada,German
672,Germany,English
673,Australia,German
674,UK,English
675,Spain,Italian
676,Spain,French
677,Netherlands,Spanish
678,UK,French
679,Canada,Spanish
680,USA,German
681,Germany,English
682,Germany,English
683,Spain,German
684,Sweden,Spanish
685,Sweden,Spanish
686,France,English
687,Germany,German
688,Spain,English
689,Spain,German
690,Canada,German
691,Italy,Spanish
692,Netherlands,Spanish
693,Spain,French
694,Netherlands,Spanish
695,Spain,Italian
696,France,English
697,Italy,English
698,Italy,Italian
699,UK,Italian
700,France,German
701,Canada,English
702,Spain,German
703,France,Spanish
704,Australia,Spanish
705,UK,Spanish
706,Spain,Spanish
707,USA,German
708,Australia,Spanish
709,France,English
710,Canada,Spanish
711,Spain,Italian
712,UK,English
713,UK,Italian
714,Netherlands,English
715,UK,English
716,Germany,German
717,Spain,Spanish
718,Australia,English
719,Australia,French
720,Netherlands,German
721,Spain,Spanish
722,Canada,Italian
723,UK,Italian
724,Spain,Spanish
725,Spain,German
726,Germany,English
727,USA,French
728,Netherlands,Italian
729,Italy,Italian
730,Canada,German
731,France,Spanish
732,Germany,Italian
733,France,Spanish
734,Germany,English
735,UK,English
736,Netherlands,French
737,Netherlands,English
738,Spain,German
739,Canada,Italian
740,Sweden,German
741,France,French
742,UK,German
743,Sweden,French
744,Canada,French
745,UK,French
746,Netherlands,English
747,Spain,Italian
748,Australia,German
749,Netherlands,Italian
750,UK,Italian
751,Canada,English
752,France,Spanish
753,Netherlands,Italian
754,Italy,Spanish
755,Australia,English
756,UK,German
757,Canada,Spanish
758,Netherlands,Italian
759,Spain,French
760,Sweden,Italian
761,UK,French
762,Italy,Italian
763,USA,English
764,Sweden,French
765,France,French
766,UK,German
767,Germany,German
768,Sweden,German
769,Canada,German
770,Germany,Italian
771,France,French
772,France,Italian
773,Sweden,English
774,Sweden,French
775,Australia,Italian
776,UK,French
777,Australia,Italian
778,Spain,Italian
779,USA,English
780,Canada,English
781,Australia,German
782,Germany,Italian
783,Italy,Italian
784,USA,Spanish
785,Sweden,German
786,France,Spanish
787,Germany,Spanish
788,France,Spanish
789,Canada,English
790,UK,Spanish
791,Italy,Spanish
792,Netherlands,French
793,Spain,Italian
794,UK,German
795,Spain,German
796,Italy,French
797,Spain,Italian
798,Sweden,English
799,Spain,French
800,Netherlands,English
801,France,Spanish
802,Germany,French
803,Canada,English
804,France,Spanish
805,Australia,Spanish
806,Germany,French
807,Spain,Italian
808,Spain,French
809,UK,Spanish
810,Sweden,Spanish
811,Netherlands,German
812,Netherlands,English
813,Canada,Spanish
814,Sweden,Spanish
815,Germany,French
816,Australia,German
817,USA,English
818,France,Spanish
819,Australia,Spanish
820,France,Italian
821,USA,English
822,Italy,French
823,France,German
824,Italy,German
825,USA,Spanish
826,USA,Italian
827,Sweden,French
828,Spain,Italian
829,France,English
830,Italy,Italian
831,Netherlands,Italian
832,France,Italian
833,Australia,English
834,UK,English
835,Italy,German
836,Spain,Italian
837,Spain,French
838,Germany,Italian
839,Sweden,Spanish
840,Sweden,English
841,USA,English
842,UK,German
843,Netherlands,Italian
844,Netherlands,French
845,Australia,Italian
846,UK,German
847,Australia,German
848,UK,Spanish
849,Australia,German
850,Australia,German
851,Sweden,Italian
852,Sweden,Spanish
853,Australia,German
854,Netherlands,English
855,Spain,German
856,Canada,Spanish
857,Australia,German
858,USA,Italian
859,Netherlands,German
860,Australia,Italian
861,Germany,English
862,Australia,Spanish
863,UK,Italian
864,Australia,Spanish
865,UK,French
866,USA,Italian
867,Canada,French
868,USA,Spanish
869,Spain,Spanish
870,UK,Spanish
871,Germany,Spanish
872,Sweden,Italian
873,Netherlands,English
874,UK,Italian
875,Germany,Italian
876,Spain,Spanish
877,Sweden,Spanish
878,Spain,French
879,Netherlands,Italian
880,Spain,Italian
881,Spain,German
882,Australia,Spanish
883,Germany,French
884,France,Italian
885,France,French
886,France,German
887,Germany,Spanish
888,Spain,Spanish
889,Spain,Italian
890,France,German
891,Canada,Italian
892,Sweden,Spanish
893,Italy,German
894,UK,German
895,USA,German
896,Canada,German
897,Netherlands,German
898,Netherlands,French
899,Germany,Italian
900,France,Italian
901,France,French
902,Canada,Italian
903,Australia,French
904,Germany,English
905,Sweden,French
906,Germany,English
907,Canada,Spanish
908,Spain,Spanish
909,Canada,French
910,USA,Italian
911,UK,Spanish
912,Netherlands,Spanish
913,Germany,German
914,Spain,German
915,USA,English
916,Australia,French
917,Sweden,English
918,UK,Spanish
919,UK,English
920,Italy,Spanish
921,UK,German
922,USA,English
923,France,Italian
924,Australia,English
925,Spain,German
926,Netherlands,Italian
927,Sweden,Spanish
928,UK,Italian
929,Netherlands,German
930,Germany,English
931,Spain,French
932,Netherlands,German
933,UK,English
934,Spain,German
935,Australia,French
936,UK,Italian
937,Italy,Spanish
938,Sweden,German
939,Canada,Spanish
940,Canada,French
941,UK,Spanish
942,Spain,French
943,USA,German
944,Italy,French
945,Netherlands,German
946,Spain,German
947,Australia,Italian
948,USA,German
949,Spain,French
950,USA,English
951,Netherlands,German
952,UK,Spanish
953,Sweden,German
954,Canada,German
955,Spain,Italian
956,Germany,French
957,UK,Spanish
958,UK,Spanish
959,Australia,German
960,Italy,Italian
961,Netherlands,Italian
962,Germany,French
963,Australia,English
964,Sweden,Spanish
965,Sweden,German
966,Canada,Italian
967,Canada,English
968,Sweden,Italian
969,Germany,Italian
970,Sweden,French
971,UK,German
972,Sweden,Spanish
973,Canada,French
974,Australia,Spanish
975,Canada,Italian
976,Netherlands,English
977,Netherlands,French
978,Sweden,Spanish
979,Netherlands,Italian
980,USA,Italian
981,Netherlands,German
982,USA,Spanish
983,France,English
984,Germany,Italian
985,Canada,English
986,Italy,German
987,Canada,Italian
988,USA,English
989,Netherlands,English
990,France,Spanish
991,UK,French
992,Italy,German
993,Italy,Spanish
994,Italy,Spanish
995,Canada,Italian
996,UK,German
997,Canada,French
998,Sweden,Spanish
999,Sweden,French
1000,Germany,English
1001,USA,German
1002,Netherlands,Italian
1003,Italy,Italian
1004,Italy,French
1005,Germany,Spanish
1006,Spain,French
1007,France,French
1008,Canada,English
1009,Italy,Italian
1010,USA,French
1011,Germany,English
1012,Canada,Italian
1013,USA,Spanish
1014,Australia,English
1015,Germany,English
1016,Italy,Spanish
1017,Germany,Italian
1018,Germany,English
1019,UK,Italian
1020,France,French
1021,Australia,German
1022,Australia,Italian
1023,Spain,French
1024,France,French
1025,Sweden,French
1026,Italy,German
1027,France,English
1028,Sweden,Italian
1029,UK,Spanish
1030,Sweden,Spanish
1031,USA,German
1032,Italy,Italian
1033,Spain,Spanish
1034,Italy,French
1035,France,Spanish
1036,UK,Italian
1037,Netherlands,French
1038,Germany,German
1039,UK,Spanish
1040,USA,Italian
1041,Italy,Spanish
1042,Sweden,Italian
1043,UK,Spanish
1044,Germany,German
1045,Germany,German
1046,Canada,Spanish
1047,Spain,English
1048,Sweden,French
1049,USA,German
1050,Italy,Italian
1051,Australia,English
1052,Canada,French
1053,Australia,Italian
1054,Germany,Spanish
1055,Germany,German
1056,France,English
1057,Germany,French
1058,Canada,Spanish
1059,Germany,Italian
1060,Germany,Spanish
1061,Germany,Italian
1062,Spain,German
1063,Italy,Spanish
1064,Sweden,German
1065,France,German
1066,Spain,Italian
1067,Netherlands,Spanish
1068,Canada,Spanish
1069,Spain,French
1070,Spain,German
1071,Italy,English
1072,Australia,French
1073,UK,English
1074,France,Italian
1075,Australia,Italian
1076,Italy,German
1077,UK,French
1078,Spain,French
1079,Italy,Italian
1080,Germany,Spanish
1081,Sweden,German
1082,France,Spanish
1083,Netherlands,Spanish
1084,UK,German
1085,UK,French
1086,Sweden,Spanish
1087,UK,Italian
1088,USA,Italian
1089,USA,English
1090,USA,English
1091,Italy,French
1092,Germany,English
1093,UK,English
1094,Germany,Italian
1095,Netherlands,German
1096,USA,Italian
1097,Australia,Spanish
1098,Netherlands,English
1099,USA,Italian
1100,Sweden,Spanish
1101,USA,English
1102,Sweden,German
1103,Sweden,German
1104,USA,Italian
1105,Italy,French
1106,Canada,English
1107,Sweden,French
1108,Germany,French
1109,Australia,Italian
1110,France,German
1111,France,Spanish
1112,Canada,German
1113,Italy,Spanish
1114,Australia,French
1115,Germany,German
1116,Canada,English
1117,Canada,Spanish
1118,Italy,Spanish
1119,Sweden,Spanish
1120,USA,English
1121,UK,English
1122,Netherlands,Spanish
1123,Spain,Italian
1124,Canada,Italian
1125,USA,French
1126,Germany,Italian
1127,Netherlands,German
1128,USA,English
1129,France,Italian
1130,Australia,English
1131,UK,German
1132,USA,French
1133,Australia,French
1134,Italy,English
1135,France,French
1136,Australia,French
1137,Australia,Spanish
1138,Sweden,German
1139,Italy,French
1140,Canada,Italian
1141,Spain,English
1142,Canada,Spanish
1143,Germany,English
1144,Spain,Italian
1145,Australia,Italian
1146,Italy,German
1147,USA,German
1148,Netherlands,Spanish
1149,Germany,German
1150,Sweden,Spanish
1151,Italy,French
1152,Australia,Spanish
1153,Canada,Italian
1154,France,French
1155,Canada,English
1156,France,French
1157,Italy,French
1158,Italy,German
1159,Spain,English
1160,Canada,English
1161,France,Spanish
1162,Spain,German
1163,Canada,French
1164,Canada,French
1165,Italy,Spanish
1166,Sweden,Italian
1167,Sweden,Spanish
1168,Canada,English
1169,Canada,German
1170,Sweden,English
1171,Australia,Italian
1172,Spain,Spanish
1173,USA,German
1174,Italy,Spanish
1175,Canada,Italian
1176,Germany,Italian
1177,Sweden,French
1178,Italy,French
1179,UK,German
1180,France,German
1181,Netherlands,French
1182,Canada,French
1183,Italy,German
1184,Italy,German
1185,Netherlands,English
1186,Spain,German
1187,Germany,Spanish
1188,Australia,Italian
1189,Germany,Spanish
1190,Canada,French
1191,France,English
1192,Italy,German
1193,Australia,Spanish
1194,Spain,Spanish
1195,Spain,Spanish
1196,Australia,French
1197,France,German
1198,Australia,French
1199,Netherlands,German
1200,UK,Spanish
1201,Spain,German
1202,Netherlands,Italian
1203,Germany,German
1204,Italy,German
1205,Italy,German
1206,Canada,Italian
1207,Germany,Italian
1208,Sweden,French
1209,Sweden,English
1210,Netherlands,French
1211,Netherlands,German
1212,Canada,Spanish
1213,Netherlands,French
1214,France,French
1215,France,French
1216,Italy,Spanish
1217,Canada,Spanish
1218,Australia,Spanish
1219,Australia,Spanish
1220,Sweden,Italian
1221,Italy,Italian
1222,USA,German
1223,Sweden,Italian
1224,Canada,English
1225,Germany,German
1226,UK,Italian
1227,USA,Italian
1228,Italy,German
1229,Italy,English
1230,USA,English
1231,France,French
1232,Sweden,Italian
1233,Sweden,Italian
1234,Australia,French
1235,Netherlands,German
1236,Italy,Spanish
1237,Australia,Italian
1238,UK,German
1239,USA,Spanish
1240,Canada,German
1241,Italy,English
1242,Canada,French
1243,Spain,German
1244,Spain,Spanish
1245,Germany,Italian
1246,Netherlands,German
1247,Netherlands,English
1248,Netherlands,Spanish
1249,Spain,English
1250,France,English
1251,Canada,English
1252,Spain,English
1253,UK,French
1254,Sweden,French
1255,Sweden,French
1256,Spain,Italian
1257,Italy,Spanish
1258,Germany,Spanish
1259,UK,French
1260,Italy,Spanish
1261,USA,Italian
1262,Germany,Spanish
1263,Australia,Spanish
1264,Italy,English
1265,Germany,French
1266,France,English
1267,Australia,English
1268,Sweden,French
1269,Spain,German
1270,Germany,Spanish
1271,Canada,German
1272,Netherlands,Italian
1273,Spain,Italian
1274,Italy,Italian
1275,Italy,Italian
1276,Canada,German
1277,Spain,Spanish
1278,Australia,French
1279,France,Italian
1280,Australia,English
1281,UK,German
1282,Canada,French
1283,France,English
1284,UK,German
1285,UK,Italian
1286,Italy,Spanish
1287,Australia,French
1288,Australia,Spanish
1289,Italy,French
1290,Netherlands,Italian
1291,UK,Italian
1292,UK,Spanish
1293,France,French
1294,UK,German
1295,Netherlands,Italian
1296,USA,German
1297,USA,Spanish
1298,UK,French
1299,Italy,Italian
1300,Sweden,Spanish
1301,Italy,Spanish
1302,Italy,Spanish
1303,Netherlands,French
1304,Canada,Italian
1305,USA,French
1306,France,English
1307,France,French
1308,Sweden,German
1309,UK,Spanish
1310,Australia,Spanish
1311,Sweden,Italian
1312,Canada,Italian
1313,Canada,German
1314,Sweden,German
1315,Sweden,English
1316,Netherlands,Italian
1317,Germany,Spanish
1318,Canada,French
1319,France,English
1320,Netherlands,German
1321,Spain,English
1322,Netherlands,English
1323,Germany,French
1324,Australia,German
1325,Australia,Spanish
1326,UK,Italian
1327,UK,French
1328,Germany,English
1329,Australia,German
1330,Sweden,German
1331,Australia,Italian
1332,UK,German
1333,France,German
1334,Australia,German
1335,Sweden,English
1336,UK,Spanish
1337,USA,German
1338,UK,French
1339,Germany,French
1340,Spain,French
1341,Italy,Spanish
1342,UK,Italian
1343,France,Spanish
1344,Italy,Spanish
1345,Canada,English
1346,Italy,Italian
1347,France,German
1348,Netherlands,Spanish
1349,Spain,Italian
1350,USA,English
1351,Netherlands,German
1352,Canada,Italian
1353,Italy,French
1354,Italy,French
1355,Netherlands,German
1356,Spain,German
1357,Spain,Italian
1358,Australia,French
1359,Australia,Spanish
1360,Spain,English
1361,USA,English
1362,Netherlands,English
1363,Canada,French
1364,Netherlands,Spanish
1365,USA,Spanish
1366,Germany,French
1367,France,French
1368,France,English
1369,Spain,German
1370,Canada,German
1371,UK,English
1372,Italy,German
1373,Germany,Spanish
1374,Canada,English
1375,USA,French
1376,Netherlands,English
1377,UK,Italian
1378,Germany,Italian
1379,Netherlands,English
1380,USA,German
1381,Canada,Spanish
1382,UK,Spanish
1383,Canada,French
1384,Italy,English
1385,Canada,English
1386,Spain,German
1387,France,French
1388,Italy,French
1389,UK,English
1390,Sweden,Italian
1391,USA,Italian
1392,UK,Spanish
1393,Spain,French
1394,UK,Spanish
1395,Australia,Spanish
1396,Germany,English
1397,Canada,French
1398,Canada,Italian
1399,Italy,German
1400,Italy,German
1401,UK,French
1402,France,English
1403,Germany,Italian
1404,Australia,Italian
1405,Australia,German
1406,USA,German
1407,Germany,Italian
1408,Australia,Italian
1409,Germany,Spanish
1410,France,English
1411,Germany,Spanish
1412,Italy,English
1413,Germany,Spanish
1414,Australia,English
1415,Sweden,English
1416,Spain,German
1417,UK,Spanish
1418,Australia,Spanish
1419,Spain,Italian
1420,UK,Spanish
1421,Canada,English
1422,Australia,English
1423,USA,German
1424,Germany,English
1425,USA,Spanish
1426,Sweden,German
1427,Sweden,Spanish
1428,Italy,Spanish
1429,Canada,Italian
1430,Sweden,Italian
1431,UK,German
1432,Canada,German
1433,Canada,Italian
1434,Germany,French
1435,Sweden,German
1436,Italy,Italian
1437,Canada,German
1438,Italy,French
1439,USA,French
1440,Canada,Spanish
1441,Canada,Spanish
1442,Australia,Italian
1443,USA,German
1444,UK,English
1445,USA,French
1446,USA,French
1447,Netherlands,German
1448,Sweden,Italian
1449,France,French
1450,Spain,French
1451,France,English
1452,USA,German
1453,Italy,German
1454,Sweden,English
1455,France,Italian
1456,Canada,Spanish
1457,Netherlands,Italian
1458,Spain,English
1459,Netherlands,Italian
1460,UK,German
1461,UK,German
1462,Canada,Italian
1463,Canada,French
1464,Sweden,English
1465,USA,English
1466,Germany,English
1467,Netherlands,German
1468,Italy,French
1469,UK,English
1470,Sweden,Spanish
1471,Germany,German
1472,Germany,Spanish
1473,Spain,German
1474,Canada,Italian
1475,Spain,English
1476,Sweden,English
1477,UK,French
1478,Sweden,English
1479,Italy,English
1480,Netherlands,German
1481,France,German
1482,Canada,Italian
1483,Netherlands,English
1484,Spain,French
1485,France,Italian
1486,France,Italian
1487,Germany,Spanish
1488,Spain,Italian
1489,Netherlands,French
1490,Sweden,French
1491,UK,English
1492,Italy,English
1493,Germany,Italian
1494,Spain,English
1495,Spain,English
1496,Italy,German
1497,Canada,French
1498,Sweden,French
1499,Italy,Spanish
1500,USA,French
